customerID,Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Serviço_Telefonico,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn,Servico_Internet
7590-VHVEG,FEMININO,0,Yes,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,29.85,29.85,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5575-GNVDE,MASCULINO,0,No,No,34,Yes,DSL,Yes,No,No,One year,Mailed check,56.95,1889.5,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3668-QPYBK,MASCULINO,0,No,No,2,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,53.85,108.15,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
7795-CFOCW,MASCULINO,0,No,No,45,No,DSL,Yes,Yes,No,One year,Bank transfer (automatic),19.6,1840.75,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8191-XWSZG,FEMININO,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,19.6,1022.95,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
9959-WOFKT,MASCULINO,0,No,Yes,71,Yes,Fiber optic,Yes,No,Yes,Two year,Bank transfer (automatic),19.6,7382.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4190-MFLUW,FEMININO,0,Yes,Yes,10,Yes,DSL,No,Yes,No,Month-to-month,Credit card (automatic),19.6,528.35,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
4183-MYFRB,FEMININO,0,No,No,21,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,19.6,1862.9,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8779-QRDMV,MASCULINO,1,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,19.6,39.65,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
1680-VDCWW,MASCULINO,0,Yes,No,12,Yes,No,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),19.6,202.25,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
1066-JKSGK,MASCULINO,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.6,20.15,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
3638-WEABW,FEMININO,0,Yes,No,58,Yes,dsl,No,Yes,No,Two year,Credit card (automatic),19.6,3505.1,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6322-HRPFA,MASCULINO,0,Yes,Yes,49,Yes,dsl,Yes,Yes,No,Month-to-month,Credit card (automatic),19.6,2970.3,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6865-JZNKO,FEMININO,0,No,No,30,Yes,dsl,Yes,No,No,Month-to-month,Bank transfer (automatic),19.6,1530.6,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
6467-CHFZW,MASCULINO,0,Yes,Yes,47,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,19.6,4749.15,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
8665-UTDHZ,MASCULINO,0,Yes,Yes,1,No,DSL,No,No,No,Month-to-month,Electronic check,19.6,30.2,Yes,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
5248-YGIJN,MASCULINO,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),19.6,6369.45,No,<bound method StringMethods.upper of <pandas.core.strings.accessor.StringMethods object at 0x000001CB946270B0>>
